slug,name,scientificname,completeness_score,classification,priority,missing_fields
paullinia-yoco,paullinia yoco,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
pausinystalia-yohimbe,pausinystalia yohimbe,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
pedicularis-densiflora-indian-warrior,pedicularis densiflora (indian warrior),,5,partial,high,scientificname
pedicularis-groenlandica,pedicularis groenlandica,,5,partial,high,scientificname
mentha-piperita,peppermint,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
perilla-frutescens,perilla frutescens,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
peruvian-torch,peruvian torch,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
petasites-hybridus,petasites hybridus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
peumus-boldus,peumus boldus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
lophophora-williamsii,peyote,Lophophora williamsii,4,ready_for_research,medium,preparation; region
pimenta-dioica,pimenta dioica,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
spigelia-marilandica,pinkroot,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
piper-auritum-root-beer-plant,piper auritum (root beer plant),,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
piper-methysticum,piper methysticum,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
pogostemon-cablin,pogostemon cablin,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
polygala-tenuifolia,polygala tenuifolia,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
zanthoxylum-americanum,prickly ash,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
psilocybin,psilocybin,Psilocybin,6,ready_for_research,high,
psychotria-carthagenensis,psychotria carthagenensis,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
psychotria-carthaginensis,psychotria carthaginensis,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
ptychopetalum-olacoides,ptychopetalum olacoides,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
nymphaea-nouchali,red/blue water lily,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
reishi-mushroom,reishi mushroom,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
rhodiola,rhodiola,Rhodiola rosea,4,ready_for_research,high,preparation; region
rhodiola-rosea,rhodiola rosea,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
rhododendron-anthopogon,rhododendron anthopogon,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
rivea-corymbosa,rivea corymbosa,,5,partial,high,scientificname
rubus-idaeus,rubus idaeus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
ruta-graveolens,ruta graveolens,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
sacred-basil,sacred basil,Ocimum tenuiflorum (Tulsi),4,ready_for_research,medium,preparation; region
